"","X.1","X","qElim1","qExtinct1","qElimWithDogs1","qNoElimWithDogs1"
"1",1,"result.1",5,0,5,0
"2",2,"result.2",5,0,5,0
"3",3,"result.3",5,0,5,0
"4",4,"result.4",5,0,5,0
"5",5,"result.5",5,0,5,0
"6",6,"result.6",5,0,5,0
"7",7,"result.7",4,0,4,1
"8",8,"result.8",4,0,4,1
"9",9,"result.9",4,0,4,1
"10",10,"result.10",5,0,5,0
"11",11,"result.11",3,0,3,2
"12",12,"result.12",3,0,3,2
"13",13,"result.13",5,0,5,0
"14",14,"result.14",3,0,3,2
"15",15,"result.15",2,0,2,3
"16",16,"result.16",4,2,2,1
"17",17,"result.17",5,2,3,0
"18",18,"result.18",4,2,2,1
"19",19,"result.19",4,2,2,1
"20",20,"result.20",4,2,2,1
"21",21,"result.21",5,2,3,0
"22",22,"result.22",5,3,2,0
"23",23,"result.23",4,2,2,1
"24",24,"result.24",5,3,2,0
"25",25,"result.25",5,5,0,0
"26",26,"result.26",5,0,5,0
"27",27,"result.27",5,0,5,0
"28",28,"result.28",5,0,5,0
"29",29,"result.29",5,0,5,0
"30",30,"result.30",5,0,5,0
"31",31,"result.31",4,0,4,1
"32",32,"result.32",5,0,5,0
"33",33,"result.33",5,0,5,0
"34",34,"result.34",4,0,4,1
"35",35,"result.35",5,0,5,0
"36",36,"result.36",4,0,4,1
"37",37,"result.37",4,0,4,1
"38",38,"result.38",5,0,5,0
"39",39,"result.39",4,0,4,1
"40",40,"result.40",3,0,3,2
"41",41,"result.41",4,2,2,1
"42",42,"result.42",5,3,2,0
"43",43,"result.43",5,2,3,0
"44",44,"result.44",3,1,2,2
"45",45,"result.45",3,1,2,2
"46",46,"result.46",5,4,1,0
"47",47,"result.47",3,3,0,2
"48",48,"result.48",5,4,1,0
"49",49,"result.49",2,2,0,3
"50",50,"result.50",5,2,3,0
"51",51,"result.51",5,0,5,0
"52",52,"result.52",5,0,5,0
"53",53,"result.53",5,0,5,0
"54",54,"result.54",5,0,5,0
"55",55,"result.55",5,0,5,0
"56",56,"result.56",5,0,5,0
"57",57,"result.57",3,0,3,2
"58",58,"result.58",5,0,5,0
"59",59,"result.59",5,0,5,0
"60",60,"result.60",4,0,4,1
"61",61,"result.61",4,1,3,1
"62",62,"result.62",3,0,3,2
"63",63,"result.63",4,1,3,1
"64",64,"result.64",3,0,3,2
"65",65,"result.65",4,0,4,1
"66",66,"result.66",4,3,1,1
"67",67,"result.67",4,1,3,1
"68",68,"result.68",3,2,1,2
"69",69,"result.69",4,0,4,1
"70",70,"result.70",4,0,4,1
"71",71,"result.71",5,4,1,0
"72",72,"result.72",5,3,2,0
"73",73,"result.73",3,1,2,2
"74",74,"result.74",2,2,0,3
"75",75,"result.75",4,3,1,1
"76",76,"result.76",5,0,5,0
"77",77,"result.77",5,0,5,0
"78",78,"result.78",5,0,5,0
"79",79,"result.79",5,0,5,0
"80",80,"result.80",5,0,5,0
"81",81,"result.81",4,0,4,1
"82",82,"result.82",4,0,4,1
"83",83,"result.83",5,0,5,0
"84",84,"result.84",5,0,5,0
"85",85,"result.85",5,0,5,0
"86",86,"result.86",5,0,5,0
"87",87,"result.87",3,0,3,2
"88",88,"result.88",4,2,2,1
"89",89,"result.89",3,0,3,2
"90",90,"result.90",4,0,4,1
"91",91,"result.91",5,1,4,0
"92",92,"result.92",2,1,1,3
"93",93,"result.93",4,2,2,1
"94",94,"result.94",4,1,3,1
"95",95,"result.95",5,1,4,0
"96",96,"result.96",4,3,1,1
"97",97,"result.97",5,3,2,0
"98",98,"result.98",5,2,3,0
"99",99,"result.99",5,2,3,0
"100",100,"result.100",5,4,1,0
"101",101,"result.101",5,0,5,0
"102",102,"result.102",5,0,5,0
"103",103,"result.103",5,0,5,0
"104",104,"result.104",5,0,5,0
"105",105,"result.105",5,0,5,0
"106",106,"result.106",5,0,5,0
"107",107,"result.107",5,0,5,0
"108",108,"result.108",5,0,5,0
"109",109,"result.109",5,0,5,0
"110",110,"result.110",5,0,5,0
"111",111,"result.111",4,0,4,1
"112",112,"result.112",2,0,2,3
"113",113,"result.113",4,0,4,1
"114",114,"result.114",3,0,3,2
"115",115,"result.115",3,0,3,2
"116",116,"result.116",4,3,1,1
"117",117,"result.117",3,0,3,2
"118",118,"result.118",3,2,1,2
"119",119,"result.119",2,0,2,3
"120",120,"result.120",3,1,2,2
"121",121,"result.121",5,2,3,0
"122",122,"result.122",5,5,0,0
"123",123,"result.123",5,3,2,0
"124",124,"result.124",5,3,2,0
"125",125,"result.125",5,2,3,0
"126",126,"result.126",5,0,5,0
"127",127,"result.127",5,0,5,0
"128",128,"result.128",5,0,5,0
"129",129,"result.129",5,0,5,0
"130",130,"result.130",5,0,5,0
"131",131,"result.131",5,0,5,0
"132",132,"result.132",5,0,5,0
"133",133,"result.133",5,0,5,0
"134",134,"result.134",5,0,5,0
"135",135,"result.135",5,0,5,0
"136",136,"result.136",5,0,5,0
"137",137,"result.137",5,0,5,0
"138",138,"result.138",5,0,5,0
"139",139,"result.139",5,0,5,0
"140",140,"result.140",4,0,4,1
"141",141,"result.141",4,0,4,1
"142",142,"result.142",3,0,3,2
"143",143,"result.143",3,0,3,2
"144",144,"result.144",1,0,1,4
"145",145,"result.145",4,0,4,1
"146",146,"result.146",5,0,5,0
"147",147,"result.147",4,0,4,1
"148",148,"result.148",4,0,4,1
"149",149,"result.149",4,0,4,1
"150",150,"result.150",4,0,4,1
"151",151,"result.151",5,0,5,0
"152",152,"result.152",5,0,5,0
